date,open,high,low,close,volume,volume
2019-04-23,2967.9958,3007.354,2964.9784,2978.8451,41065456.0,57398711.314
2019-04-24,2989.9591,3001.5342,2933.5281,2974.8473,35425729.0,51081275.886
2019-04-25,2962.7414,2973.2227,2924.0247,2927.995,38934483.0,52302557.248
2019-04-26,2913.7749,2930.2088,2892.5275,2892.8568,36562197.0,52261886.8
2019-04-29,2906.4685,2968.1622,2899.8271,2939.405,39249355.0,60772631.948
2019-04-30,2935.2412,2955.8842,2919.4939,2945.2438,32127983.0,49535144.401
2019-05-06,2853.8845,2867.5971,2768.8013,2805.0354,62436063.0,93816546.651
2019-05-07,2814.4689,2833.1959,2777.7344,2806.2577,35418177.0,59334292.086
2019-05-08,2753.6111,2796.466,2750.9257,2758.2435,30398772.0,47867856.969
2019-05-09,2740.3494,2748.0071,2686.4667,2698.7804,30758681.0,52817873.511
2019-05-10,2731.5772,2798.874,2698.8068,2793.7589,39453278.0,64003883.199
2019-05-13,2751.7563,2767.4821,2736.8442,2741.1118,26590971.0,40076136.382
2019-05-14,2716.7262,2754.692,2716.7262,2724.7337,26222018.0,41690816.22
2019-05-15,2743.7809,2797.1531,2743.7809,2783.5439,30718920.0,47008658.1
2019-05-16,2777.8502,2793.7622,2766.1496,2791.4146,28946302.0,39573599.951
2019-05-17,2792.0771,2792.5061,2728.9346,2735.2124,30072063.0,42881486.56
2019-05-20,2726.0683,2746.6596,2697.6087,2715.4315,31202646.0,41320624.051
2019-05-21,2717.8744,2764.4834,2712.0423,2739.7852,26969051.0,38322653.825
2019-05-22,2739.1115,2745.8568,2714.6498,2725.7343,23168729.0,31594205.727
2019-05-23,2710.5727,2713.9433,2679.542,2685.9336,27810156.0,37242029.909
2019-05-24,2693.8792,2722.3359,2692.5261,2702.0252,21237076.0,29272238.812
2019-05-27,2696.2581,2731.3037,2667.377,2722.3345,27243848.0,38602910.973
2019-05-28,2719.0611,2759.7788,2716.3083,2748.7987,34670056.0,50583998.914
2019-05-29,2728.4353,2780.3073,2724.8524,2755.8081,24940857.0,42312700.123
2019-05-30,2748.4289,2752.6862,2721.8807,2742.9635,24398405.0,33563876.794
2019-05-31,2740.3026,2762.387,2728.9459,2728.9459,22188152.0,30748522.003
2019-06-03,2737.8055,2762.0755,2723.9315,2743.0644,27092220.0,36382740.306
2019-06-04,2744.6964,2746.5145,2713.8036,2721.3139,22275832.0,31497303.914
2019-06-05,2741.9384,2747.2335,2717.932,2719.5949,25766253.0,35126727.113
2019-06-06,2727.697,2727.697,2701.9208,2706.7621,21390312.0,29226456.028
2019-06-10,2717.9139,2752.8815,2712.1587,2743.3745,27088081.0,39536245.731
2019-06-11,2750.541,2816.9916,2750.541,2812.8986,40850315.0,61099051.334
2019-06-12,2802.5273,2805.0054,2790.1834,2796.7319,26445230.0,36655472.039
2019-06-13,2798.0221,2804.7555,2771.857,2794.5361,23452887.0,32358595.721
2019-06-14,2798.396,2816.1773,2781.7234,2785.6055,26124830.0,35432680.818
2019-06-17,2785.4728,2813.4452,2785.4728,2793.7037,20477851.0,29172434.999
2019-06-18,2800.8296,2809.866,2785.381,2806.454,21676404.0,28833695.211
2019-06-19,2872.0726,2879.2346,2842.4241,2842.7358,41160110.0,61700813.912
2019-06-20,2847.3173,2954.0326,2846.4352,2942.6287,57360369.0,87264861.45
2019-06-21,2939.6478,2958.2273,2929.9031,2938.7729,46560205.0,68751725.117
2019-06-24,2942.5061,2958.0238,2931.6665,2949.5176,29016018.0,48517969.569
2019-06-25,2946.0203,2946.708,2875.3678,2910.1212,38165595.0,64510971.965
2019-06-26,2896.7649,2915.2351,2891.004,2903.4868,24024660.0,36749515.102
2019-06-27,2917.2036,2952.9076,2914.962,2937.1283,33472487.0,54015595.796
2019-06-28,2932.6932,2937.2912,2911.6659,2930.5982,23708671.0,37348147.063
2019-07-01,2984.649,3011.9096,2978.7515,3002.9395,42622714.0,67658868.002
2019-07-02,3000.7803,3003.8838,2988.4701,2999.0759,34629488.0,50202955.869
2019-07-03,2990.0547,2990.0547,2953.6999,2964.7309,33918965.0,52948819.09
2019-07-04,2966.3315,2974.7974,2939.9707,2953.2719,32928834.0,49240940.052
2019-07-05,2952.7138,2967.9828,2937.5953,2961.9222,23845345.0,37972405.676
2019-07-08,2944.973,2944.973,2877.737,2897.5121,33732588.0,48931992.086
2019-07-09,2894.332,2902.143,2872.0295,2881.5517,21374700.0,33052158.094
2019-07-10,2896.7013,2897.5754,2870.6704,2878.7812,18911521.0,30567385.964
2019-07-11,2897.4724,2918.9444,2879.6359,2887.8313,21157266.0,37057602.466
2019-07-12,2883.0876,2912.8988,2878.2019,2902.1295,21454210.0,36102862.033
2019-07-15,2885.9772,2920.1567,2850.098,2902.6099,28196106.0,45518424.627
2019-07-16,2900.0461,2905.1108,2881.4038,2884.561,17411517.0,29622629.436
2019-07-17,2877.4885,2892.3352,2866.4655,2875.0299,18099830.0,29234605.319
2019-07-18,2869.7295,2872.2421,2859.0691,2859.1646,19542086.0,30766133.203
2019-07-19,2875.9644,2906.5473,2875.9013,2895.6249,22451089.0,36954836.821
2019-07-22,2897.7856,2905.3508,2872.5271,2881.9038,23603184.0,33459223.729
2019-07-23,2885.7013,2889.39,2871.5072,2881.0982,20448748.0,29522996.024
2019-07-24,2894.9357,2923.399,2894.5946,2906.5502,26019871.0,40437283.304
2019-07-25,2911.0081,2931.1758,2903.3126,2931.1758,22933113.0,34994770.139
2019-07-26,2918.1073,2943.0682,2918.0135,2939.3547,23521864.0,33015285.726
2019-07-29,2936.6432,2938.7345,2922.6755,2930.4891,22372005.0,31238966.123
2019-07-30,2939.1432,2958.2969,2938.8967,2944.025,22696980.0,34400992.66
2019-07-31,2931.853,2932.6499,2906.7079,2912.6612,23888034.0,36069124.705
2019-08-01,2901.1544,2909.4723,2880.3,2887.8665,24271683.0,34658797.578
2019-08-02,2837.3685,2852.1151,2831.6579,2843.7704,29943968.0,42769404.924
2019-08-05,2823.3457,2828.4806,2785.9035,2786.7196,28350976.0,40869467.54
2019-08-06,2736.6812,2771.7889,2718.2123,2760.6799,36941691.0,55246285.326
2019-08-07,2771.2382,2773.9376,2747.2491,2747.2491,24588464.0,35131933.91
2019-08-08,2771.4483,2790.1429,2768.7137,2786.8715,29406960.0,38752525.711
2019-08-09,2800.4373,2802.8147,2767.1403,2772.1492,25380966.0,34104733.906
2019-08-12,2787.4395,2825.0853,2782.7699,2824.8041,22136997.0,38630482.198
2019-08-13,2807.9587,2812.4924,2787.1229,2792.9137,21464034.0,31203938.404
2019-08-14,2827.038,2831.3419,2803.8644,2804.3553,26108221.0,39001289.672
2019-08-15,2758.7354,2815.1501,2756.3765,2814.3881,25284675.0,35967053.705
2019-08-16,2817.266,2846.257,2805.813,2824.2258,24147328.0,40454103.156
2019-08-19,2839.2455,2877.4701,2823.8691,2877.2312,41911167.0,60087435.549
2019-08-20,2869.1589,2883.5481,2864.7091,2875.653,29817583.0,41610605.926
2019-08-21,2868.6307,2875.0111,2864.8145,2869.2196,21637444.0,31697839.333
2019-08-22,2878.7299,2881.0557,2862.4404,2878.0047,20493057.0,31209995.919
2019-08-23,2880.5722,2923.9328,2876.0218,2917.3773,24138057.0,45464081.993
2019-08-26,2869.462,2882.4543,2854.5085,2863.4793,26436578.0,46412408.381
2019-08-27,2883.4157,2915.8357,2880.9962,2887.2385,35741368.0,57183305.449
2019-08-28,2883.3474,2887.8516,2860.7114,2867.0269,23610765.0,41588186.589
2019-08-29,2867.7679,2871.6336,2843.282,2855.4504,22386670.0,37475570.899
2019-08-30,2878.2124,2886.3472,2856.0293,2872.401,25922975.0,43825498.629
2019-09-02,2871.2873,2902.4089,2866.7493,2894.9575,29753214.0,45888749.88
